ID,DIFF
0,0
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,1
